time,open,high,low,close,Plot,Plot,Mid Price,Breakout Up,Breakout Down,Fake Breakout,Breakout midPrice Up,Breakout midPrice Down,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Basis,Upper,Lower,Basis,Upper,Lower,EMA,EMA,MA,MA,MA,MA,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
1764751500,1.1640369740833392,1.16458,1.16358,1.1641575,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1639187852448059,1.1644814724368144,1.1633560980527973,1.165044159628823,1.1627934108607887,1.1642351249999856,1.164824176222897,1.1636460737770742,1.1642351249999856,1.1645296506114413,1.16394059938853,1.163494387512598,1.164114254567193,1.1577576015624975,1.1608460703125112,1.1625886562500125,1.1642351249999856,0.000495681025752392,53.868825802406164,68.29997061103742,NaN,NaN,NaN,NaN,-0.00010843683174970324,0.00019570975090021925,0.0003041465826499225,23.445409589203653,22.14983758487944
1764752400,1.1640972370416696,1.16459,1.16402,1.1643275,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1639390018582676,1.1644938982275326,1.1633841054890026,1.1650487945967976,1.1628292091197376,1.1642648749999858,1.1648076653284345,1.163722084671537,1.1642648749999858,1.1645362701642101,1.1639934798357614,1.1635270585905353,1.16413364051563,1.1577584199218727,1.1608608203125113,1.1626217187500125,1.1642648749999858,0.0005009895239129325,57.36846276692052,66.69364587783542,NaN,NaN,NaN,NaN,-0.00009109826555921087,0.0001902737507009089,0.00028137201626011977,31.17586540789084,24.870757620685982
1764753300,1.1642123685208348,1.16446,1.164,1.16425,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1639485860483485,1.1644969991564456,1.1634001729402514,1.1650454122645426,1.1628517598321544,1.1642899999999856,1.1647784722665366,1.1638015277334346,1.1642899999999856,1.1645342361332611,1.16404576386671,1.1635554092340437,1.1641442186505726,1.1577591210937477,1.1608758437500113,1.1626553125000125,1.1642899999999856,0.0004980617007763036,55.30850704182908,64.92515607057592,NaN,NaN,NaN,NaN,-0.00008296635047041443,0.00017766407817210172,0.00026063042864251615,39.11764705881777,31.2463073519708
1764754200,1.1642311842604174,1.16478,1.1642311842604174,1.1644700000000001,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1639775114474082,1.164524987891152,1.1634300350036644,1.165072464334896,1.1628825585599205,1.1643179999999858,1.164779594144576,1.1638564058553955,1.1643179999999858,1.164548797072281,1.1640872029276905,1.1635912755385909,1.1641738351368842,1.1577599296874976,1.1608932343750111,1.1626929687500125,1.1643179999999858,0.0005016869892624635,59.72911048451449,63.25300279257429,NaN,NaN,NaN,NaN,-0.00006185642227529237,0.0001833099007984007,0.0002451663230736931,45.245098039212934,38.51287016864056
1764755100,1.1643505921302086,1.1648,1.1643505921302086,1.1646225000000001,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1640002901116937,1.1645498884966523,1.163450691726735,1.165099486881611,1.1629010933417765,1.1643461249999858,1.1648099529214633,1.1638822970785083,1.1643461249999858,1.1645780389607245,1.164114211039247,1.163631715713548,1.164214622851713,1.1577607578124978,1.1609124531250112,1.1627314687500125,1.1643461249999858,0.0004979527664431031,62.49822172591469,61.62568914395042,NaN,NaN,NaN,NaN,-0.000037885453218230016,0.00019780950655090557,0.00023569495976913558,51.029411764706076,45.130718954245644
1764756000,1.1644865460651044,1.1655,1.1644865460651044,1.165015,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1640357129010304,1.1646062714320566,1.163465154370004,1.165176829963083,1.1628945958389778,1.1643846249999856,1.1649292724479339,1.1638399775520374,1.1643846249999856,1.1646569487239598,1.1641123012760115,1.163685962156154,1.164287384410648,1.1577620996093727,1.1609328750000114,1.1627704062500126,1.1643846249999856,0.0005347742784754245,68.50155896345714,60.913110161181166,NaN,NaN,NaN,NaN,0.0000020247509426626464,0.0002382258984474639,0.00023620114750480124,62.80535130718948,53.02662037036955
1764756900,1.1647507730325521,1.16618,1.1647507730325521,1.1657125000000002,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1640945636184186,1.1647257436502838,1.1634633835865533,1.165356923682149,1.162832203554688,1.1644558749999856,1.1652477704116602,1.163663979588311,1.1644558749999856,1.1648518227058229,1.1640599272941483,1.1637654342284616,1.1644169403733164,1.1577638789062479,1.1609551484375114,1.1628196562500128,1.1644558749999856,0.0005986637562591691,75.88836601937021,61.321422217936835,NaN,NaN,NaN,NaN,0.00006929297266926922,0.0003228173633413878,0.00025352439067211855,72.6941145047773,62.17629252555762
1764757800,1.165231636516276,1.1663,1.165231636516276,1.16597,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1641499454407733,1.1648420165262168,1.1634578743553299,1.1655340876116602,1.1627658032698864,1.1645441249999857,1.165564846970641,1.1635234030293304,1.1645441249999857,1.1650544859853134,1.164033764014658,1.1638518877881296,1.1645581276121058,1.1577658828124977,1.1609784843750115,1.162872750000013,1.1645441249999857,0.000632213736792361,77.94472043323059,61.408913162606105,NaN,NaN,NaN,NaN,0.00012194465367384929,0.00040595520776443017,0.0002840105540905809,81.54215372046335,72.34720651081004
1764758700,1.165600818258138,1.16638,1.165600818258138,1.1661475000000001,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1642181443281443,1.1649837440410638,1.1634525446152248,1.1657493437539832,1.1626869449023054,1.1646406249999859,1.1658643283299162,1.1634169216700556,1.1646406249999859,1.165252476664951,1.1640287733350207,1.1639419117964382,1.1647026160110052,1.1577679433593726,1.1610027343750113,1.1629290000000128,1.1646406249999859,0.0006427114514401829,79.25791632277853,61.409305608308635,NaN,NaN,NaN,NaN,0.00015729153236427814,0.0004806249695459286,0.00032333343718165045,87.19443546649823,80.47690123057963
1764759600,1.165874159129069,1.16611,1.1655,1.1658725,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.1642719049909702,1.165078250193167,1.1634655597887735,1.1658845953953636,1.1626592145865768,1.1647132499999855,1.1660437087200548,1.1633827912799162,1.1647132499999855,1.1653784793600201,1.1640480206399508,1.1640176211377544,1.1648089691009138,1.1577696562499977,1.1610254921875112,1.1629885625000127,1.1647132499999855,0.0006430534906230365,72.09573155965597,62.20300141051213,NaN,NaN,NaN,NaN,0.00015070316232842227,0.0005117123900921783,0.000361009227763756,87.14635854342066,85.29431591012742
1764760500,1.1658733295645347,1.16622,1.16579,1.1660075,1.1626,1.15912,1.16086,NaN,NaN,NaN,NaN,NaN,1.164307699462538,1.165142896501192,1.1634725024238841,1.165978093539846,1.1626373053852301,1.1647837499999856,1.1662268634413548,1.1633406365586163,1.1647837499999856,1.1655053067206702,1.164062193279301,1.1640956556029405,1.1649179264553762,1.1577713066406226,1.1610488281250113,1.1630619375000124,1.1647837499999856,0.0006278353841499576,73.36803818079005,63.60214303678631,NaN,NaN,NaN,NaN,0.0001439977232297874,0.0005410063818009903,0.00039700865857120285,86.7559523809564,87.03224879695843
